ref_id; pt1x; pt1y; query_id; pt2x; pt2y
2020_PS197_P3_b_in_PS202_CR_CR.tif;59;234;2020_PS197_P3_c_in_PS202_CR_EH.TIF;56;221
2020_PS197_P3_b_in_PS202_CR_CR.tif;341;263;2020_PS197_P3_c_in_PS202_CR_EH.TIF;328;304
2020_PS197_P3_b_in_PS202_CR_CR.tif;90;278;2020_PS197_P3_c_in_PS202_CR_EH.TIF;223;389
2020_PS197_P3_b_in_PS202_CR_CR.tif;319;272;2020_PS197_P3_c_in_PS202_CR_EH.TIF;76;286
2020_PS197_P3_b_in_PS202_CR_CR.tif;169;359;2020_PS197_P3_c_in_PS202_CR_EH.TIF;131;374
2020_PS197_P3_b_in_PS202_CR_CR.tif;296;221;2020_PS197_P3_c_in_PS202_CR_EH.TIF;70;230
2020_PS197_P3_b_in_PS202_CR_CR.tif;291;171;2020_PS197_P3_c_in_PS202_CR_EH.TIF;92;185
2020_PS197_P3_b_in_PS202_CR_CR.tif;329;229;2020_PS197_P3_c_in_PS202_CR_EH.TIF;187;83
2020_PS197_P3_b_in_PS202_CR_CR.tif;140;238;2020_PS197_P3_c_in_PS202_CR_EH.TIF;65;331
2020_PS197_P3_b_in_PS202_CR_CR.tif;105;71;2020_PS197_P3_c_in_PS202_CR_EH.TIF;96;109
2020_PS197_P3_b_in_PS202_CR_CR.tif;316;256;2020_PS197_P3_c_in_PS202_CR_EH.TIF;76;272
2020_PS197_P3_b_in_PS202_CR_CR.tif;131;161;2020_PS197_P3_c_in_PS202_CR_EH.TIF;333;194
2020_PS197_P3_b_in_PS202_CR_CR.tif;299;254;2020_PS197_P3_c_in_PS202_CR_EH.TIF;62;260
2020_PS197_P3_b_in_PS202_CR_CR.tif;34;251;2020_PS197_P3_c_in_PS202_CR_EH.TIF;87;411
2020_PS197_P3_b_in_PS202_CR_CR.tif;35;285;2020_PS197_P3_c_in_PS202_CR_EH.TIF;257;449
2020_PS197_P3_b_in_PS202_CR_CR.tif;127;278;2020_PS197_P3_c_in_PS202_CR_EH.TIF;166;223
2020_PS197_P3_b_in_PS202_CR_CR.tif;265;127;2020_PS197_P3_c_in_PS202_CR_EH.TIF;106;136
2020_PS197_P3_b_in_PS202_CR_CR.tif;273;182;2020_PS197_P3_c_in_PS202_CR_EH.TIF;73;185
2020_PS197_P3_b_in_PS202_CR_CR.tif;216;397;2020_PS197_P3_c_in_PS202_CR_EH.TIF;337;226
2020_PS197_P3_b_in_PS202_CR_CR.tif;279;401;2020_PS197_P3_c_in_PS202_CR_EH.TIF;119;178
2020_PS197_P3_b_in_PS202_CR_CR.tif;60;314;2020_PS197_P3_c_in_PS202_CR_EH.TIF;202;76
2020_PS197_P3_b_in_PS202_CR_CR.tif;147;98;2020_PS197_P3_c_in_PS202_CR_EH.TIF;150;159
2020_PS197_P3_b_in_PS202_CR_CR.tif;200;83;2020_PS197_P3_c_in_PS202_CR_EH.TIF;201;450
2020_PS197_P3_b_in_PS202_CR_CR.tif;238;398;2020_PS197_P3_c_in_PS202_CR_EH.TIF;63;185
2020_PS197_P3_b_in_PS202_CR_CR.tif;249;281;2020_PS197_P3_c_in_PS202_CR_EH.TIF;211;321
2020_PS197_P3_b_in_PS202_CR_CR.tif;279;162;2020_PS197_P3_c_in_PS202_CR_EH.TIF;88;171
2020_PS197_P3_b_in_PS202_CR_CR.tif;207;263;2020_PS197_P3_c_in_PS202_CR_EH.TIF;174;302
2020_PS197_P3_b_in_PS202_CR_CR.tif;158;179;2020_PS197_P3_c_in_PS202_CR_EH.TIF;83;305
2020_PS197_P3_b_in_PS202_CR_CR.tif;222;48;2020_PS197_P3_c_in_PS202_CR_EH.TIF;338;313
2020_PS197_P3_b_in_PS202_CR_CR.tif;314;187;2020_PS197_P3_c_in_PS202_CR_EH.TIF;313;376
2020_PS197_P3_b_in_PS202_CR_CR.tif;253;158;2020_PS197_P3_c_in_PS202_CR_EH.TIF;283;141
2020_PS197_P3_b_in_PS202_CR_CR.tif;163;85;2020_PS197_P3_c_in_PS202_CR_EH.TIF;317;293
2020_PS197_P3_b_in_PS202_CR_CR.tif;305;368;2020_PS197_P3_c_in_PS202_CR_EH.TIF;147;324
2020_PS197_P3_b_in_PS202_CR_CR.tif;57;275;2020_PS197_P3_c_in_PS202_CR_EH.TIF;142;152
2020_PS197_P3_b_in_PS202_CR_CR.tif;258;361;2020_PS197_P3_c_in_PS202_CR_EH.TIF;293;312
2020_PS197_P3_b_in_PS202_CR_CR.tif;67;237;2020_PS197_P3_c_in_PS202_CR_EH.TIF;119;188
