ref_id; pt1x; pt1y; query_id; pt2x; pt2y
2018_PS128pre_A1_b_CR.tif;264;65;2018_PS128pre_A1_c_EH.TIF;96;396
2018_PS128pre_A1_b_CR.tif;117;107;2018_PS128pre_A1_c_EH.TIF;255;315
2018_PS128pre_A1_b_CR.tif;304;250;2018_PS128pre_A1_c_EH.TIF;327;234
2018_PS128pre_A1_b_CR.tif;304;250;2018_PS128pre_A1_c_EH.TIF;327;234
2018_PS128pre_A1_b_CR.tif;107;145;2018_PS128pre_A1_c_EH.TIF;160;89
2018_PS128pre_A1_b_CR.tif;110;207;2018_PS128pre_A1_c_EH.TIF;192;332
2018_PS128pre_A1_b_CR.tif;99;188;2018_PS128pre_A1_c_EH.TIF;359;326
2018_PS128pre_A1_b_CR.tif;125;81;2018_PS128pre_A1_c_EH.TIF;165;51
2018_PS128pre_A1_b_CR.tif;288;88;2018_PS128pre_A1_c_EH.TIF;68;301
2018_PS128pre_A1_b_CR.tif;172;45;2018_PS128pre_A1_c_EH.TIF;336;405
2018_PS128pre_A1_b_CR.tif;205;374;2018_PS128pre_A1_c_EH.TIF;231;183
2018_PS128pre_A1_b_CR.tif;147;168;2018_PS128pre_A1_c_EH.TIF;138;150
2018_PS128pre_A1_b_CR.tif;147;323;2018_PS128pre_A1_c_EH.TIF;194;174
2018_PS128pre_A1_b_CR.tif;248;170;2018_PS128pre_A1_c_EH.TIF;219;48
2018_PS128pre_A1_b_CR.tif;270;213;2018_PS128pre_A1_c_EH.TIF;353;318
2018_PS128pre_A1_b_CR.tif;367;179;2018_PS128pre_A1_c_EH.TIF;252;482
2018_PS128pre_A1_b_CR.tif;367;179;2018_PS128pre_A1_c_EH.TIF;252;482
2018_PS128pre_A1_b_CR.tif;325;194;2018_PS128pre_A1_c_EH.TIF;303;315
2018_PS128pre_A1_b_CR.tif;244;58;2018_PS128pre_A1_c_EH.TIF;273;312
2018_PS128pre_A1_b_CR.tif;187;207;2018_PS128pre_A1_c_EH.TIF;123;267
2018_PS128pre_A1_b_CR.tif;252;42;2018_PS128pre_A1_c_EH.TIF;113;438
2018_PS128pre_A1_b_CR.tif;398;310;2018_PS128pre_A1_c_EH.TIF;246;490
2018_PS128pre_A1_b_CR.tif;136;68;2018_PS128pre_A1_c_EH.TIF;106;417
ref_id; pt1x; pt1y; query_id; pt2x; pt2y
2018_PS123_P2_b_CR.tif;154;134;2018_PS123_P2_c_EH.TIF;257;375
2018_PS123_P2_b_CR.tif;51;234;2018_PS123_P2_c_EH.TIF;137;80
2018_PS123_P2_b_CR.tif;139;188;2018_PS123_P2_c_EH.TIF;292;177
2018_PS123_P2_b_CR.tif;162;287;2018_PS123_P2_c_EH.TIF;354;266
2018_PS123_P2_b_CR.tif;281;133;2018_PS123_P2_c_EH.TIF;329;218
2018_PS123_P2_b_CR.tif;117;152;2018_PS123_P2_c_EH.TIF;175;193
2018_PS123_P2_b_CR.tif;221;75;2018_PS123_P2_c_EH.TIF;178;318
2018_PS123_P2_b_CR.tif;133;54;2018_PS123_P2_c_EH.TIF;173;466
2018_PS123_P2_b_CR.tif;196;171;2018_PS123_P2_c_EH.TIF;288;383
2018_PS123_P2_b_CR.tif;189;202;2018_PS123_P2_c_EH.TIF;134;366
2018_PS123_P2_b_CR.tif;301;195;2018_PS123_P2_c_EH.TIF;77;182
2018_PS123_P2_b_CR.tif;301;195;2018_PS123_P2_c_EH.TIF;176;337
2018_PS123_P2_b_CR.tif;246;134;2018_PS123_P2_c_EH.TIF;163;134
2018_PS123_P2_b_CR.tif;208;168;2018_PS123_P2_c_EH.TIF;233;323
2018_PS123_P2_b_CR.tif;101;305;2018_PS123_P2_c_EH.TIF;254;321
2018_PS123_P2_b_CR.tif;72;255;2018_PS123_P2_c_EH.TIF;243;173
2018_PS123_P2_b_CR.tif;117;368;2018_PS123_P2_c_EH.TIF;252;415
2018_PS123_P2_b_CR.tif;266;336;2018_PS123_P2_c_EH.TIF;202;78
2018_PS123_P2_b_CR.tif;195;381;2018_PS123_P2_c_EH.TIF;302;275
2018_PS123_P2_b_CR.tif;138;75;2018_PS123_P2_c_EH.TIF;134;281
2018_PS123_P2_b_CR.tif;320;181;2018_PS123_P2_c_EH.TIF;133;239
2018_PS123_P2_b_CR.tif;311;326;2018_PS123_P2_c_EH.TIF;152;340
2018_PS123_P2_b_CR.tif;172;194;2018_PS123_P2_c_EH.TIF;139;284
2018_PS123_P2_b_CR.tif;162;232;2018_PS123_P2_c_EH.TIF;238;357
2018_PS123_P2_b_CR.tif;313;182;2018_PS123_P2_c_EH.TIF;94;173
2018_PS123_P2_b_CR.tif;268;294;2018_PS123_P2_c_EH.TIF;196;365
2018_PS123_P2_b_CR.tif;198;115;2018_PS123_P2_c_EH.TIF;325;211
2018_PS123_P2_b_CR.tif;34;245;2018_PS123_P2_c_EH.TIF;310;95
2018_PS123_P2_b_CR.tif;348;226;2018_PS123_P2_c_EH.TIF;175;417
2018_PS123_P2_b_CR.tif;306;184;2018_PS123_P2_c_EH.TIF;87;172
2018_PS123_P2_b_CR.tif;306;184;2018_PS123_P2_c_EH.TIF;87;172
2018_PS123_P2_b_CR.tif;185;50;2018_PS123_P2_c_EH.TIF;158;317
2018_PS123_P2_b_CR.tif;228;456;2018_PS123_P2_c_EH.TIF;313;386
2018_PS123_P2_b_CR.tif;310;198;2018_PS123_P2_c_EH.TIF;82;188
2018_PS123_P2_b_CR.tif;314;220;2018_PS123_P2_c_EH.TIF;76;208
2018_PS123_P2_b_CR.tif;314;220;2018_PS123_P2_c_EH.TIF;76;208
2018_PS123_P2_b_CR.tif;183;451;2018_PS123_P2_c_EH.TIF;340;278
2018_PS123_P2_b_CR.tif;338;175;2018_PS123_P2_c_EH.TIF;36;243
2018_PS123_P2_b_CR.tif;152;191;2018_PS123_P2_c_EH.TIF;300;239
