ref_id; pt1x; pt1y; query_id; pt2x; pt2y
2020_PS161_P3_c_CR.tif;154;154;2020_PS161_P3_d_EH.TIF;226;280
2020_PS161_P3_c_CR.tif;281;442;2020_PS161_P3_d_EH.TIF;315;418
2020_PS161_P3_c_CR.tif;81;106;2020_PS161_P3_d_EH.TIF;62;157
2020_PS161_P3_c_CR.tif;305;199;2020_PS161_P3_d_EH.TIF;299;273
2020_PS161_P3_c_CR.tif;356;246;2020_PS161_P3_d_EH.TIF;262;458
2020_PS161_P3_c_CR.tif;317;279;2020_PS161_P3_d_EH.TIF;304;345
2020_PS161_P3_c_CR.tif;148;140;2020_PS161_P3_d_EH.TIF;62;284
2020_PS161_P3_c_CR.tif;167;73;2020_PS161_P3_d_EH.TIF;93;151
2020_PS161_P3_c_CR.tif;234;317;2020_PS161_P3_d_EH.TIF;245;292
2020_PS161_P3_c_CR.tif;321;237;2020_PS161_P3_d_EH.TIF;69;215
2020_PS161_P3_c_CR.tif;159;341;2020_PS161_P3_d_EH.TIF;89;361
2020_PS161_P3_c_CR.tif;115;245;2020_PS161_P3_d_EH.TIF;279;241
2020_PS161_P3_c_CR.tif;324;300;2020_PS161_P3_d_EH.TIF;70;275
2020_PS161_P3_c_CR.tif;198;202;2020_PS161_P3_d_EH.TIF;145;150
2020_PS161_P3_c_CR.tif;202;153;2020_PS161_P3_d_EH.TIF;208;144
2020_PS161_P3_c_CR.tif;169;166;2020_PS161_P3_d_EH.TIF;128;399
2020_PS161_P3_c_CR.tif;297;361;2020_PS161_P3_d_EH.TIF;69;344
2020_PS161_P3_c_CR.tif;160;94;2020_PS161_P3_d_EH.TIF;137;242
2020_PS161_P3_c_CR.tif;259;356;2020_PS161_P3_d_EH.TIF;319;397
2020_PS161_P3_c_CR.tif;289;376;2020_PS161_P3_d_EH.TIF;73;361
2020_PS161_P3_c_CR.tif;289;376;2020_PS161_P3_d_EH.TIF;73;361
2020_PS161_P3_c_CR.tif;167;322;2020_PS161_P3_d_EH.TIF;160;240
2020_PS161_P3_c_CR.tif;327;303;2020_PS161_P3_d_EH.TIF;74;276
2020_PS161_P3_c_CR.tif;119;251;2020_PS161_P3_d_EH.TIF;249;176
2020_PS161_P3_c_CR.tif;257;371;2020_PS161_P3_d_EH.TIF;173;295
