ref_id; pt1x; pt1y; query_id; pt2x; pt2y
2020_PS135_P1_a_CR.tif;160;456;2020_PS135_P1_b_EH.TIF;120;462
2020_PS135_P1_a_CR.tif;47;208;2020_PS135_P1_b_EH.TIF;360;280
2020_PS135_P1_a_CR.tif;282;188;2020_PS135_P1_b_EH.TIF;139;184
2020_PS135_P1_a_CR.tif;282;188;2020_PS135_P1_b_EH.TIF;139;184
2020_PS135_P1_a_CR.tif;39;254;2020_PS135_P1_b_EH.TIF;38;332
2020_PS135_P1_a_CR.tif;85;239;2020_PS135_P1_b_EH.TIF;129;222
2020_PS135_P1_a_CR.tif;154;269;2020_PS135_P1_b_EH.TIF;152;222
2020_PS135_P1_a_CR.tif;43;177;2020_PS135_P1_b_EH.TIF;298;439
2020_PS135_P1_a_CR.tif;54;370;2020_PS135_P1_b_EH.TIF;288;449
ref_id; pt1x; pt1y; query_id; pt2x; pt2y
2020_PS129_P1_b_CR.tif;226;175;2020_PS129_P1_c_EH.TIF;316;281
2020_PS129_P1_b_CR.tif;192;136;2020_PS129_P1_c_EH.TIF;242;300
2020_PS129_P1_b_CR.tif;52;328;2020_PS129_P1_c_EH.TIF;331;183
2020_PS129_P1_b_CR.tif;145;388;2020_PS129_P1_c_EH.TIF;239;171
2020_PS129_P1_b_CR.tif;61;199;2020_PS129_P1_c_EH.TIF;255;452
2020_PS129_P1_b_CR.tif;271;439;2020_PS129_P1_c_EH.TIF;298;430
2020_PS129_P1_b_CR.tif;150;466;2020_PS129_P1_c_EH.TIF;32;328
2020_PS129_P1_b_CR.tif;50;260;2020_PS129_P1_c_EH.TIF;70;351
2020_PS129_P1_b_CR.tif;315;346;2020_PS129_P1_c_EH.TIF;244;288
2020_PS129_P1_b_CR.tif;253;116;2020_PS129_P1_c_EH.TIF;61;190
2020_PS129_P1_b_CR.tif;308;264;2020_PS129_P1_c_EH.TIF;285;285
2020_PS129_P1_b_CR.tif;138;404;2020_PS129_P1_c_EH.TIF;78;348
2020_PS129_P1_b_CR.tif;121;308;2020_PS129_P1_c_EH.TIF;322;315
2020_PS129_P1_b_CR.tif;260;158;2020_PS129_P1_c_EH.TIF;220;353
2020_PS129_P1_b_CR.tif;156;279;2020_PS129_P1_c_EH.TIF;219;111
2020_PS129_P1_b_CR.tif;94;118;2020_PS129_P1_c_EH.TIF;146;305
2020_PS129_P1_b_CR.tif;208;136;2020_PS129_P1_c_EH.TIF;285;128
2020_PS129_P1_b_CR.tif;171;434;2020_PS129_P1_c_EH.TIF;225;411
2020_PS129_P1_b_CR.tif;165;462;2020_PS129_P1_c_EH.TIF;46;187
2020_PS129_P1_b_CR.tif;235;111;2020_PS129_P1_c_EH.TIF;74;260
2020_PS129_P1_b_CR.tif;268;294;2020_PS129_P1_c_EH.TIF;247;222
2020_PS129_P1_b_CR.tif;254;358;2020_PS129_P1_c_EH.TIF;198;164
2020_PS129_P1_b_CR.tif;82;270;2020_PS129_P1_c_EH.TIF;128;187
2020_PS129_P1_b_CR.tif;210;43;2020_PS129_P1_c_EH.TIF;284;439
2020_PS129_P1_b_CR.tif;70;186;2020_PS129_P1_c_EH.TIF;215;363
2020_PS129_P1_b_CR.tif;143;124;2020_PS129_P1_c_EH.TIF;297;118
2020_PS129_P1_b_CR.tif;130;182;2020_PS129_P1_c_EH.TIF;263;356
2020_PS129_P1_b_CR.tif;171;143;2020_PS129_P1_c_EH.TIF;97;318
2020_PS129_P1_b_CR.tif;175;127;2020_PS129_P1_c_EH.TIF;126;123
2020_PS129_P1_b_CR.tif;283;123;2020_PS129_P1_c_EH.TIF;224;228
2020_PS129_P1_b_CR.tif;127;403;2020_PS129_P1_c_EH.TIF;217;272
2020_PS129_P1_b_CR.tif;346;323;2020_PS129_P1_c_EH.TIF;208;464
2020_PS129_P1_b_CR.tif;275;438;2020_PS129_P1_c_EH.TIF;98;431
2020_PS129_P1_b_CR.tif;335;264;2020_PS129_P1_c_EH.TIF;47;271
2020_PS129_P1_b_CR.tif;239;105;2020_PS129_P1_c_EH.TIF;76;342
2020_PS129_P1_b_CR.tif;126;295;2020_PS129_P1_c_EH.TIF;220;353
2020_PS129_P1_b_CR.tif;128;373;2020_PS129_P1_c_EH.TIF;243;323
2020_PS129_P1_b_CR.tif;97;147;2020_PS129_P1_c_EH.TIF;226;347
2020_PS129_P1_b_CR.tif;97;147;2020_PS129_P1_c_EH.TIF;226;347
2020_PS129_P1_b_CR.tif;279;336;2020_PS129_P1_c_EH.TIF;326;389
2020_PS129_P1_b_CR.tif;94;205;2020_PS129_P1_c_EH.TIF;180;76
2020_PS129_P1_b_CR.tif;278;330;2020_PS129_P1_c_EH.TIF;246;453
2020_PS129_P1_b_CR.tif;278;330;2020_PS129_P1_c_EH.TIF;246;453
2020_PS129_P1_b_CR.tif;177;387;2020_PS129_P1_c_EH.TIF;303;179
2020_PS129_P1_b_CR.tif;228;120;2020_PS129_P1_c_EH.TIF;255;72
2020_PS129_P1_b_CR.tif;102;239;2020_PS129_P1_c_EH.TIF;108;336
2020_PS129_P1_b_CR.tif;212;447;2020_PS129_P1_c_EH.TIF;74;270
2020_PS129_P1_b_CR.tif;136;110;2020_PS129_P1_c_EH.TIF;219;441
2020_PS129_P1_b_CR.tif;131;411;2020_PS129_P1_c_EH.TIF;129;204
2020_PS129_P1_b_CR.tif;86;162;2020_PS129_P1_c_EH.TIF;122;173
2020_PS129_P1_b_CR.tif;215;266;2020_PS129_P1_c_EH.TIF;149;446
2020_PS129_P1_b_CR.tif;210;407;2020_PS129_P1_c_EH.TIF;345;299
2020_PS129_P1_b_CR.tif;248;297;2020_PS129_P1_c_EH.TIF;103;314
2020_PS129_P1_b_CR.tif;104;271;2020_PS129_P1_c_EH.TIF;255;292
2020_PS129_P1_b_CR.tif;287;331;2020_PS129_P1_c_EH.TIF;125;423
2020_PS129_P1_b_CR.tif;131;124;2020_PS129_P1_c_EH.TIF;340;298
2020_PS129_P1_b_CR.tif;233;431;2020_PS129_P1_c_EH.TIF;274;412
2020_PS129_P1_b_CR.tif;193;296;2020_PS129_P1_c_EH.TIF;264;387
2020_PS129_P1_b_CR.tif;192;285;2020_PS129_P1_c_EH.TIF;286;162
2020_PS129_P1_b_CR.tif;223;466;2020_PS129_P1_c_EH.TIF;125;461
2020_PS129_P1_b_CR.tif;211;154;2020_PS129_P1_c_EH.TIF;131;106
2020_PS129_P1_b_CR.tif;157;154;2020_PS129_P1_c_EH.TIF;71;361
2020_PS129_P1_b_CR.tif;221;39;2020_PS129_P1_c_EH.TIF;33;232
2020_PS129_P1_b_CR.tif;356;293;2020_PS129_P1_c_EH.TIF;111;450
2020_PS129_P1_b_CR.tif;146;366;2020_PS129_P1_c_EH.TIF;99;296
2020_PS129_P1_b_CR.tif;228;382;2020_PS129_P1_c_EH.TIF;257;329
ref_id; pt1x; pt1y; query_id; pt2x; pt2y
2020_PS133_P4_a_CR.tif;174;408;2020_PS133_P4_b_EH.TIF;165;362
2020_PS133_P4_a_CR.tif;254;214;2020_PS133_P4_b_EH.TIF;324;201
2020_PS133_P4_a_CR.tif;281;86;2020_PS133_P4_b_EH.TIF;292;84
2020_PS133_P4_a_CR.tif;160;117;2020_PS133_P4_b_EH.TIF;294;296
2020_PS133_P4_a_CR.tif;223;109;2020_PS133_P4_b_EH.TIF;241;148
2020_PS133_P4_a_CR.tif;355;289;2020_PS133_P4_b_EH.TIF;136;57
2020_PS133_P4_a_CR.tif;113;56;2020_PS133_P4_b_EH.TIF;69;416
2020_PS133_P4_a_CR.tif;149;79;2020_PS133_P4_b_EH.TIF;220;480
